iter	Passed	Remaining
0	0	64
1	1	66
2	2	73
3	3	73
4	3	72
5	4	74
6	5	74
7	6	73
8	7	73
9	7	71
10	8	70
11	9	69
12	10	69
13	11	68
14	11	67
15	12	66
16	13	64
17	14	63
18	14	62
19	15	61
20	16	60
21	16	59
22	17	58
23	18	57
24	19	57
25	19	56
26	20	55
27	21	54
28	21	53
29	22	52
30	23	51
31	23	50
32	24	49
33	25	48
34	25	47
35	26	47
36	27	45
37	27	45
38	28	44
39	29	43
40	29	42
41	30	41
42	30	40
43	31	39
44	31	38
45	32	38
46	33	37
47	33	36
48	34	35
49	34	34
50	35	34
51	36	33
52	36	32
53	37	31
54	37	30
55	38	30
56	39	29
57	39	28
58	40	27
59	40	27
60	41	26
61	41	25
62	42	24
63	42	24
64	43	23
65	43	22
66	44	21
67	44	21
68	45	20
69	46	19
70	46	19
71	47	18
72	47	17
73	48	16
74	48	16
75	49	15
76	50	14
77	50	14
78	51	13
79	51	12
80	51	12
81	52	11
82	53	10
83	53	10
84	54	9
85	54	8
86	55	8
87	55	7
88	55	6
89	56	6
90	57	5
91	57	4
92	58	4
93	58	3
94	58	3
95	59	2
96	59	1
97	60	1
98	60	0
99	61	0
