iter	Passed	Remaining
0	125	125080
1	126	63296
2	127	42350
3	128	31883
4	128	25614
5	129	21423
6	129	18435
7	130	16180
8	130	14413
9	131	13002
10	131	11864
11	132	10925
12	133	10111
13	133	9424
14	134	8822
15	134	8293
16	135	7828
17	135	7416
18	136	7054
19	137	6722
20	137	6420
21	138	6150
22	138	5904
23	139	5678
24	140	5469
25	140	5274
26	141	5093
27	141	4925
28	142	4767
29	142	4622
30	143	4487
31	144	4357
32	144	4238
33	145	4125
34	145	4022
35	146	3922
36	147	3827
37	147	3737
38	148	3654
39	148	3574
40	149	3499
41	150	3425
42	150	3356
43	151	3287
44	151	3222
45	152	3159
46	153	3104
47	153	3048
48	154	2994
49	154	2943
50	155	2890
51	155	2841
52	156	2794
53	156	2748
54	157	2705
55	157	2663
56	158	2622
57	159	2583
58	159	2546
59	160	2508
60	160	2472
61	161	2437
62	161	2404
63	162	2372
64	162	2342
65	163	2311
66	164	2284
67	164	2255
68	165	2227
69	165	2200
70	166	2173
71	166	2148
72	167	2124
73	168	2102
74	168	2080
75	169	2057
76	169	2034
77	170	2011
78	170	1990
79	171	1969
80	171	1949
81	172	1928
82	172	1906
83	173	1887
84	173	1869
85	174	1850
86	174	1833
87	175	1816
88	175	1799
89	176	1783
90	176	1767
91	177	1751
92	177	1735
93	178	1720
94	179	1705
95	179	1690
96	180	1676
97	180	1661
98	181	1647
99	181	1635
100	182	1622
101	182	1609
102	183	1596
103	183	1583
104	184	1571
105	184	1558
106	185	1546
107	185	1534
108	186	1523
109	186	1511
110	187	1500
111	187	1489
112	188	1479
113	189	1469
114	189	1459
115	190	1448
116	190	1438
117	191	1428
118	191	1419
119	192	1410
120	192	1401
121	193	1391
122	193	1382
123	194	1373
124	194	1364
125	195	1355
126	195	1346
127	196	1338
128	197	1330
129	197	1322
130	198	1314
131	198	1306
132	199	1299
133	199	1291
134	200	1283
135	200	1276
136	201	1269
137	201	1261
138	202	1253
139	202	1246
140	203	1239
141	203	1231
142	204	1224
143	204	1217
144	205	1210
145	205	1203
146	206	1197
147	206	1190
148	207	1184
149	207	1178
150	208	1171
151	208	1165
152	209	1159
153	209	1152
154	210	1146
155	211	1141
156	211	1136
157	212	1130
158	212	1124
159	213	1119
160	213	1113
161	214	1108
162	214	1102
163	215	1097
164	215	1091
165	216	1086
166	216	1081
167	217	1076
168	217	1071
169	218	1066
170	218	1061
171	219	1056
172	219	1051
173	220	1046
174	220	1041
175	221	1036
176	221	1032
177	222	1027
178	223	1022
179	223	1018
180	224	1013
181	224	1008
182	224	1004
183	225	1000
184	226	996
185	226	991
186	227	988
187	227	983
188	228	979
189	228	975
190	229	970
191	229	966
192	230	962
193	230	958
194	231	954
195	231	950
196	232	946
197	232	942
198	233	938
199	233	934
200	234	931
201	234	927
202	235	923
203	235	919
204	236	916
205	236	912
206	237	908
207	237	905
208	238	901
209	238	898
210	239	894
211	239	891
212	240	888
213	240	884
214	241	881
215	242	878
216	242	875
217	243	872
218	243	869
219	244	865
220	244	862
221	245	859
222	245	856
223	246	853
224	246	850
225	247	847
226	247	843
227	248	840
228	248	837
229	249	834
230	249	831
231	250	828
232	250	825
233	251	822
234	251	819
235	252	816
236	252	813
237	253	810
238	253	807
239	254	804
240	254	802
241	255	799
242	255	797
243	256	794
244	256	791
245	257	789
246	258	786
247	258	784
248	259	781
249	259	778
250	260	776
251	260	773
252	261	770
253	261	767
254	261	765
255	262	762
256	262	760
257	263	757
258	263	755
259	264	752
260	265	750
261	265	747
262	266	745
263	266	742
264	266	740
265	267	738
266	267	735
267	268	733
268	269	731
269	269	728
270	270	726
271	270	724
272	271	721
273	271	719
274	272	717
275	272	714
276	273	712
277	273	710
278	274	708
279	274	706
280	275	703
281	275	701
282	276	699
283	276	697
284	277	695
285	277	693
286	278	690
287	278	688
288	279	686
289	279	684
290	280	682
291	280	680
292	281	678
293	281	676
294	282	674
295	282	672
296	283	670
297	284	669
298	284	667
299	285	665
300	285	663
301	286	661
302	286	659
303	287	657
304	287	655
305	288	653
306	288	651
307	289	649
308	289	648
309	290	646
310	290	644
311	291	642
312	291	640
313	292	638
314	292	637
315	293	635
316	293	633
317	294	631
318	294	629
319	295	627
320	295	625
321	296	623
322	296	621
323	297	620
324	297	618
325	298	616
326	298	614
327	299	613
328	299	611
329	300	609
330	300	608
331	301	606
332	302	604
333	302	603
334	303	602
335	303	600
336	304	598
337	304	597
338	305	595
339	305	593
340	306	592
341	306	590
342	307	588
343	307	587
344	308	585
345	308	584
346	309	582
347	309	580
348	310	578
349	310	577
350	311	575
351	311	574
352	312	572
353	312	570
354	313	569
355	313	567
356	314	566
357	314	564
358	315	563
359	315	561
360	316	560
361	316	558
362	317	557
363	317	555
364	318	554
365	319	552
366	319	551
367	320	549
368	320	548
369	321	546
370	321	545
371	322	543
372	322	542
373	323	540
374	323	539
375	324	538
376	324	536
377	325	535
378	325	533
379	326	532
380	326	530
381	327	529
382	327	527
383	328	526
384	328	525
385	329	523
386	329	522
387	330	521
388	330	519
389	331	518
390	331	516
391	332	515
392	333	514
393	333	513
394	334	511
395	334	510
396	335	509
397	335	507
398	336	506
